score,
0,0
1,0.100250627
2,0.014020897
3,0.033077102
4,0.048274451
5,0.101803329
6,0
7,0.146920551
8,0.02354336
9,0.133356741
10,0.038488952
11,0.167707655
12,0.033469388
13,0.044342675
14,0.077412544
15,0.039618489
16,0.049266247
17,0.10544393
18,0.030232558
19,0.166280396
20,0.020763812
21,0.044091711
22,0.06953748
23,0.044834308
24,0.010671499
25,0.022980812
26,0
27,0.030939737
28,0.08749406
29,0.115852149
30,0.044141512
31,0.04397463
32,0.089066847
33,0.134849814
34,0.011613522
35,0.028904665
36,0.033710692
37,0.064607731
38,0.022574956
39,0
40,0.052941176
41,0.155707892
42,0.014521985
43,0.044918158
44,0.028590426
45,0.029325513
46,0.037929926
47,0.085021466
48,0.025870647
49,0
50,0.02962963
51,0.118233618
52,0.114593226
53,0.068184051
54,0
55,0
56,0
57,0.061302682
58,0.039736649
59,0.035833333
60,0.07202381
61,0.063218391
62,0.057150765
63,0.038492382
64,0.118081918
65,0.013741562
66,0.063784939
67,0.026461538
68,0.082658953
69,0.171767447
70,0
71,0.053457143
72,0.06092437
73,0.018395503
74,0.049768519
75,0
76,0.028389831
77,0.030292102
78,0.06
79,0.043694141
80,0.050964383
81,0.052364865
82,0.0239501
83,0.083297314
84,0.058064516
85,0.151079339
86,0.012098573
87,0
88,0.027294686
89,0.023542919
90,0.039818769
91,0.16772556
92,0.077717919
93,0
94,0.012020906
95,0.113179308
96,0.155824443
97,0.037524103
98,0.021174004
99,0.061376881
100,0.104225514
101,0.013579233
102,0
103,0.104287891
104,0.096009155
105,0.008619392
106,0
107,0.018075802
108,0.011654473
109,0.078645435
110,0.010386473
111,0
112,0
113,0
114,0.046034081
115,0.049017929
116,0.009244697
117,0.079862222
118,0.060286855
119,0.104225514
120,0.087962963
121,0
122,0.093234468
123,0
124,0.093312113
125,0.037431507
126,0
127,0.083058405
128,0.094477711
129,0.066573639
130,0.055981183
131,0.052819993
132,0.126742383
133,0
134,0.083215276
135,0.009289268
136,0.107697559
137,0.081585082
138,0.01042567
139,0.01977219
140,0.012769486
141,0.077443049
142,0.106063322
143,0.037956077
144,0
145,0.065840939
146,0.009452643
147,0.031806134
148,0.017018339
149,0.127990276
150,0.015
151,0.181700112
152,0.079487313
153,0.053938619
154,0
155,0
156,0
157,0.120667865
158,0.036974393
159,0.028977583
160,0.016061381
161,0.020477156
162,0.009992598
163,0.072057539
164,0.072484639
165,0.067547954
166,0
167,0.008628624
168,0.072969874
169,0.069495798
170,0.106808877
171,0.065527066
172,0
173,0.011167576
174,0.125453611
175,0.024305556
176,0.086720867
177,0.102022727
178,0.022958631
179,0.13740618
180,0.059748151
181,0.039800995
182,0
183,0.12068902
184,0.039411977
185,0.074182782
186,0.013395492
187,0.013838668
188,0
189,0.014496644
190,0.14682584
191,0.011244019
192,0.0471537
193,0.041491311
194,0.014049937
195,0.04592968
196,0.064000241
197,0
198,0.1159323
199,0.122484029
200,0.012425756
201,0.013585167
202,0.061375661
203,0
204,0.081896552
205,0
206,0.13412703
207,0.062437562
208,0.052763061
209,0.039597929
210,0.083547626
211,0.016441931
212,0.037575758
213,0
214,0.029151966
215,0.122615272
216,0.043237532
217,0.059912129
218,0.025725095
219,0.045665962
220,0.092
221,0.080579355
222,0
223,0.050549451
224,0.098095238
225,0
226,0.067585182
227,0.022369878
228,0.06552156
229,0
230,0
231,0.047222222
232,0.020008606
233,0.088643069
234,0.068966132
235,0.023187286
236,0.115932341
237,0.023278608
238,0.022531699
239,0
240,0
241,0.037183702
242,0.0688
243,0.093762444
244,0.100046111
245,0.087969456
246,0.056289182
247,0.068630704
248,0.05024363
249,0.012281836
250,0
251,0.008059385
252,0
253,0.037986831
254,0.017770373
255,0.098412644
256,0.105598048
257,0.0439668
258,0.01039073
259,0.037471984
260,0.080102864
261,0.04190546
262,0.090162621
263,0.012059316
264,0.031092939
265,0.099586946
266,0.026343519
267,0.036619711
268,0.012119052
269,0.125079037
270,0.092447958
271,0.015818182
272,0.031436808
273,0
274,0.057634192
275,0.022058824
276,0.033262562
277,0.106666667
278,0.103740008
279,0.101709985
280,0
281,0.031366004
282,0.033698473
283,0.039631257
284,0.026601011
285,0.065593194
286,0.039666404
287,0.092969596
288,0.075505897
289,0
290,0.051712277
291,0.111280398
292,0
293,0.121098414
294,0.06017336
295,0.099643319
296,0.04028419
297,0.085005174
298,0.104809075
299,0.012252252
300,0
301,0.016164523
302,0.133436655
303,0.029204471
304,0.120844534
305,0.032656023
306,0.035539216
307,0.051785714
308,0
309,0.013988522
310,0
311,0.185847759
312,0
313,0.011747497
314,0.043123543
315,0
316,0.053819271
317,0.05952381
318,0.010161439
319,0.020527226
320,0.105135448
321,0.078695652
322,0.072106262
323,0.064371286
324,0.011948456
325,0
326,0.085597484
327,0
328,0.059538195
329,0.036688793
330,0.070583888
331,0.010525335
332,0
333,0.02495592
334,0.135982784
335,0
336,0.03567447
337,0.076852393
338,0
339,0.078138851
340,0.021175454
341,0.016601907
342,0.036657682
343,0.038749294
344,0.076556301
345,0
346,0
347,0.068703856
348,0.043189369
349,0.027162847
350,0.058285114
351,0
352,0
353,0.090081039
354,0.083347467
355,0.027197976
356,0
357,0.052222222
358,0.073529941
359,0
360,0.041766916
361,0
362,0.020010132
363,0
364,0.06941739
365,0
366,0.107222816
367,0.116666667
368,0.022745098
369,0.070419918
370,0
371,0.024461274
372,0.049760766
373,0.049589468
374,0.031290743
375,0.013561511
376,0
377,0.044710264
378,0
379,0.138580247
380,0.055887705
381,0.034932318
382,0.082797519
383,0.068368713
384,0.056391549
385,0.035728411
386,0.033632669
387,0.063921993
388,0.103088862
389,0.034040325
390,0.112407682
391,0.019944598
392,0.011778329
393,0.094470323
394,0.096001944
395,0.079064081
396,0
397,0.062486938
398,0.013791764
399,0.022477284
400,0.025055614
401,0.018311688
402,0.043650794
403,0.116843988
404,0
405,0.019792559
406,0.042837079
407,0
408,0.055409691
409,0.024528302
410,0.042208943
411,0.142115569
412,0.03633543
413,0.037462823
414,0.028072034
415,0.06345679
416,0.043410853
417,0.021273292
418,0.022517394
419,0.027826769
420,0.024946237
421,0.092745377
422,0
423,0.066502463
424,0.030698066
425,0.017088801
426,0.031615925
427,0.013936938
428,0.017881143
429,0.03245283
430,0.098047786
431,0.071428571
432,0.095880682
433,0.024912281
434,0.022959764
435,0.049209562
436,0.094650921
437,0.013460317
438,0.025207756
439,0.125897273
440,0.025504378
441,0.031042129
442,0.025840945
443,0.019202015
444,0.009605911
445,0.120535714
446,0.112683284
447,0.091176471
448,0.046153717
449,0.018708401
450,0.026268116
451,0.105412018
452,0.131362314
453,0.018158604
454,0.016917071
455,0.026500639
456,0.024118738
457,0.019713262
458,0
459,0.020512821
460,0.019426457
461,0.036185061
462,0.026988636
463,0.032933105
464,0.037179487
465,0.020942408
466,0.016703297
467,0.020614955
468,0.017957351
469,0.013811297
470,0.018339921
471,0.046740203
472,0.064814815
473,0.057040998
474,0.028150573
475,0
476,0.0546875
477,0.020440252
478,0.03011583
479,0.024553571