index,score
0,0.022735161
1,0
2,0.013429065
3,0.032088123
4,0.111934251
5,0.08538788
6,0.025856132
7,0.11729935
8,0.012318231
9,0
10,0.131140815
11,0.040249944
12,0.038277512
13,0.133183511
14,0.082046332
15,0.04668584
16,0.071639546
17,0.035133377
18,0.049707602
19,0.09901875
20,0.030831643
21,0.169992139
22,0
23,0
24,0.06102852
25,0.043040293
26,0.131207349
27,0.04513436
28,0.059047619
29,0.032727273
30,0.089252957
31,0.096581585
32,0.044075375
33,0.019982433
34,0.067355757
35,0.084457634
36,0.009641018
37,0.024120403
38,0.033057851
39,0
40,0.051654545
41,0.050413113
42,0.065681445
43,0
44,0.013319239
45,0.033755274
46,0.030894658
47,0.02174359
48,0
49,0.063898405
50,0.03016888
51,0
52,0.023026316
53,0.051282051
54,0.103489517
55,0.030514643
56,0
57,0.135953026
58,0.032258065
59,0
60,0.063311688
61,0.042540885
62,0.03552492
63,0.041973153
64,0.06
65,0.079878049
66,0.038720539
67,0.101544402
68,0
69,0.016759777
70,0.024377457
71,0.067873303
72,0
73,0.086422583
74,0.053684489
75,0.060117302
76,0.01821204
77,0.048076923
78,0
79,0.035610766
80,0.03185907
81,0
82,0.038327526
83,0.047328419
84,0.050355774
85,0.023673369
86,0.069072165
87,0.025362319
88,0.075
89,0.01101147
90,0.11114957
91,0
92,0.060779985
93,0.027955461
94,0.022651874
95,0.040356136
96,0.055843795
97,0.147432177
98,0.108582826
99,0
100,0.043657087
101,0.114924295
102,0
103,0.090985016
104,0.065011571
105,0.087077967
106,0.060021894
107,0.066009179
108,0.013766597
109,0.044417998
110,0.028635621
111,0.130282033
112,0.08533223
113,0.008970887
114,0
115,0.019744681
116,0.01019385
117,0.078802649
118,0.011153359
119,0.149568977
120,0.011859961
121,0
122,0.100422604
123,0
124,0.008844765
125,0.081160991
126,0.049537117
127,0.066253296
128,0.118602678
129,0.142931316
130,0
131,0
132,0
133,0.01103557
134,0
135,0.15738668
136,0.052277585
137,0.12914161
138,0
139,0.05233833
140,0.009473193
141,0.089384729
142,0.103334811
143,0.112350858
144,0
145,0.043115657
146,0.011568447
147,0.125922081
148,0.082544947
149,0
150,0.074156625
151,0.076261954
152,0
153,0.121983455
154,0.052001053
155,0.007988686
156,0.016811805
157,0.007721126
158,0.064670453
159,0
160,0
161,0
162,0.139626855
163,0
164,0.020482475
165,0.009321402
166,0.016424039
167,0.190803211
168,0.132139322
169,0.093457468
170,0.160347053
171,0.125922028
172,0
173,0
174,0
175,0
176,0.109217172
177,0
178,0.024471371
179,0.016299065
180,0.043554308
181,0.009210023
182,0.119034652
183,0.037186811
184,0.066749971
185,0.078411812
186,0.096230132
187,0.007805326
188,0
189,0.072402501
190,0.101887237
191,0.045289855
192,0
193,0.009977827
194,0.071899304
195,0.014596273
196,0.07977208
197,0.099925283
198,0.08426581
199,0.092345647
200,0.110441953
201,0.122412739
202,0.040027137
203,0
204,0.075908447
205,0.110899763
206,0.027244127
207,0.066922063
208,0.01038961
209,0.104309817
210,0.045
211,0.027094942
212,0.119322297
213,0.011133116
214,0.094756212
215,0.087039033
216,0
217,0
218,0.052266915
219,0
220,0.11120483
221,0.131961465
222,0.007314011
223,0.017380952
224,0.01216014
225,0
226,0.03610333
227,0
228,0.041773231
229,0.061143984
230,0.028147939
231,0.126948404
232,0.05686321
233,0.056989884
234,0
235,0.072526163
236,0
237,0
238,0.071875
239,0
240,0.13910903
241,0.060723314
242,0.030647553
243,0.064440355
244,0.03874092
245,0.069337548
246,0.088
247,0.021225544
248,0.075313283
249,0.047694754
250,0.081546361
251,0.08988764
252,0.034602686
253,0
254,0.011377511
255,0.009756098
256,0
257,0
258,0
259,0.089393474
260,0.122607216
261,0.0101113
262,0.094147402
263,0.0249066
264,0.116141138
265,0.044897959
266,0
267,0.038243647
268,0.050509526
269,0.147230896
270,0.160721851
271,0.049007012
272,0.065941375
273,0.00888765
274,0.065483069
275,0.059030907
276,0.03970385
277,0.009333982
278,0
279,0.148280428
280,0
281,0.051827957
282,0.077458516
283,0.059757262
284,0.080791359
285,0
286,0.114578618
287,0.157512649
288,0.032175334
289,0.08660298
290,0.130469428
291,0
292,0.013048807
293,0
294,0.120188776
295,0
296,0.031844025
297,0.095585939
298,0.155910707
299,0.091505792
300,0.230550532
301,0.128242884
302,0
303,0.104902937
304,0.02367812
305,0.029493128
306,0.115151515
307,0.124482453
308,0.115284348
309,0.120447317
310,0.068231842
311,0.007390983
312,0.081230478
313,0.020387845
314,0.106963091
315,0.039892782
316,0
317,0.01003613
318,0.103022959
319,0.136082474
320,0.100210811
321,0.125573306
322,0.10260016
323,0
324,0.112550169
325,0.008383664
326,0.1083064
327,0.094070668
328,0.099144282
329,0.013389296
330,0.020046884
331,0.014124294
332,0.102126737
333,0
334,0.024661449
335,0
336,0.168110112
337,0.034777956
338,0.051775148
339,0.11665047
340,0
341,0.099894629
342,0.080816471
343,0.146522087
344,0.065024492
345,0.00982047
346,0.039447732
347,0
348,0
349,0.055390905
350,0
351,0.047540555
352,0.022554606
353,0.013325889
354,0.104066762
355,0.050572956
356,0.091929393
357,0.02234381
358,0.033949013
359,0.144571052
360,0.059737752
361,0.013432179
362,0.084757218
363,0.008460694
364,0.061116071
365,0.01022409
366,0
367,0.09892213
368,0.022999901
369,0
370,0.010702614
371,0.037748799
372,0.077951649
373,0.074337588
374,0.042311433
375,0.023092369
376,0.014754098
377,0.029931482
378,0.09122977
379,0.01462585
380,0.100572396
381,0
382,0.040330396
383,0.038730159
384,0.129495537
385,0.056494614
386,0.05162435
387,0.032085561
388,0.034646465
389,0.025053879
390,0.011893456
391,0.092222218
392,0
393,0.156728993
394,0.041901692
395,0.03841593
396,0
397,0.024239207
398,0.075612206
399,0.044722113
400,0.036996545
401,0.097421589
402,0.135875408
403,0.107371224
404,0.017568192
405,0.088363858
406,0.028450449
407,0
408,0.107713418
409,0
410,0.106837607
411,0.061292083
412,0.148219821
413,0.075393848
414,0.009316578
415,0.046925488
416,0
417,0
418,0.030639731
419,0
420,0.049596309
421,0.048564079
422,0.096790123
423,0.040504306
424,0.063362556
425,0
426,0
427,0.112636674
428,0.071519525
429,0
430,0.068171506
431,0.10112964
432,0.046546547
433,0.148923886
434,0.048469388
435,0.112639718
436,0.105983773
437,0.031257631
438,0.014650706
439,0
440,0.099463306
441,0.009692777
442,0.008582249
443,0.033047736
444,0.058372336
445,0
446,0.051574213
447,0.085267857
448,0.090144515
449,0.066081843
450,0
451,0.034044082
452,0
453,0.111210364
454,0.048142106
455,0
456,0.082174163
457,0.042852754
458,0
459,0
460,0.009378555
461,0.011467403
462,0.053167421
463,0.008336785
464,0.110654409
465,0.009122536
466,0
467,0.046207498
468,0.115256769
469,0.020383357
470,0.042297368
471,0.159352659
472,0.081265319
473,0.06936275
474,0
475,0.05387205
476,0.01011537
477,0.06333944
478,0.1071142
479,0
480,0
481,0
482,0.10688472
483,0
484,0
485,0
486,0
487,0
488,0.0173454
489,0
490,0.02883031
491,0
492,0.05058887
493,0.00911865
494,0.1161374
495,0.08734778
496,0.05315608
497,0.105572
498,0.01966518
499,0.08145667
500,0.02339425
501,0.04424614
502,0.00819989
503,0